# items.csv - 아이템 데이터 (ID 체계 리팩토링)
# id,name,grade,type,rarity,stats
# ID 체계: Weapon 1001-1025, Armor 2001-2025, Boots 3001-3025, Accessory 4001-4025
# grade: 1-25 (1-5:Bronze, 6-10:Iron, 11-15:Steel, 16-20:Gold, 21-25:Mythril)
# rarity: common, rare, epic, legendary, mythic
id,name,grade,type,rarity,stats
1001,bronze_sword,1,weapon,common,"{""attackBonus"":2}"
1002,bronze_sword,2,weapon,rare,"{""attackBonus"":4}"
1003,bronze_sword,3,weapon,epic,"{""attackBonus"":6}"
1004,bronze_sword,4,weapon,legendary,"{""attackBonus"":8}"
1005,bronze_sword,5,weapon,mythic,"{""attackBonus"":10}"
1006,iron_sword,6,weapon,common,"{""attackBonus"":14}"
1007,iron_sword,7,weapon,rare,"{""attackBonus"":18}"
1008,iron_sword,8,weapon,epic,"{""attackBonus"":22}"
1009,iron_sword,9,weapon,legendary,"{""attackBonus"":26}"
1010,iron_sword,10,weapon,mythic,"{""attackBonus"":30}"
1011,steel_sword,11,weapon,common,"{""attackBonus"":38}"
1012,steel_sword,12,weapon,rare,"{""attackBonus"":46}"
1013,steel_sword,13,weapon,epic,"{""attackBonus"":54}"
1014,steel_sword,14,weapon,legendary,"{""attackBonus"":62}"
1015,steel_sword,15,weapon,mythic,"{""attackBonus"":70}"
1016,gold_sword,16,weapon,common,"{""attackBonus"":86}"
1017,gold_sword,17,weapon,rare,"{""attackBonus"":102}"
1018,gold_sword,18,weapon,epic,"{""attackBonus"":118}"
1019,gold_sword,19,weapon,legendary,"{""attackBonus"":134}"
1020,gold_sword,20,weapon,mythic,"{""attackBonus"":150}"
1021,mythril_sword,21,weapon,common,"{""attackBonus"":182}"
1022,mythril_sword,22,weapon,rare,"{""attackBonus"":214}"
1023,mythril_sword,23,weapon,epic,"{""attackBonus"":246}"
1024,mythril_sword,24,weapon,legendary,"{""attackBonus"":278}"
1025,mythril_sword,25,weapon,mythic,"{""attackBonus"":310}"
2001,bronze_armor,1,armor,common,"{""defenseBonus"":1}"
2002,bronze_armor,2,armor,rare,"{""defenseBonus"":3}"
2003,bronze_armor,3,armor,epic,"{""defenseBonus"":4}"
2004,bronze_armor,4,armor,legendary,"{""defenseBonus"":5}"
2005,bronze_armor,5,armor,mythic,"{""defenseBonus"":7}"
2006,iron_armor,6,armor,common,"{""defenseBonus"":10}"
2007,iron_armor,7,armor,rare,"{""defenseBonus"":13}"
2008,iron_armor,8,armor,epic,"{""defenseBonus"":15}"
2009,iron_armor,9,armor,legendary,"{""defenseBonus"":18}"
2010,iron_armor,10,armor,mythic,"{""defenseBonus"":21}"
2011,steel_armor,11,armor,common,"{""defenseBonus"":27}"
2012,steel_armor,12,armor,rare,"{""defenseBonus"":32}"
2013,steel_armor,13,armor,epic,"{""defenseBonus"":38}"
2014,steel_armor,14,armor,legendary,"{""defenseBonus"":43}"
2015,steel_armor,15,armor,mythic,"{""defenseBonus"":49}"
2016,gold_armor,16,armor,common,"{""defenseBonus"":60}"
2017,gold_armor,17,armor,rare,"{""defenseBonus"":71}"
2018,gold_armor,18,armor,epic,"{""defenseBonus"":83}"
