# achievements.csv - 업적 데이터
# id: 고유 ID, name: 이름, description: 설명, condition_type: 조건 타입, condition_value: 조건 값, reward_type: 보상 타입, reward_value: 보상 값
id,name,description,condition_type,condition_value,reward_type,reward_value
first_blood,첫 피,첫 몬스터를 처치하세요,kill_count,1,gold,100
level_10,레벨 10,플레이어 레벨 10 에 도달,level,10,gold,500
level_50,레벨 50,플레이어 레벨 50 에 도달,level,50,gold,2000
stage_10,10 층 도달,10 층에 도달하세요,stage_reach,10,gold,1000
stage_50,50 층 도달,50 층에 도달하세요,stage_reach,50,gold,5000
gold_1000,골드 1000,골드를 1000 개 획득,gold_total,1000,gold,200
gold_10000,골드 10000,골드를 10000 개 획득,gold_total,10000,gold,1000
kill_100,몬스터 100 마리,몬스터를 100 마리 처치,kill_count,100,gold,500
kill_1000,몬스터 1000 마리,몬스터를 1000 마리 처치,kill_count,1000,gold,2000
synthesize_first,첫 합성,장비를 첫 합성,synthesize_count,1,item,3
